LabelCode,Artist,Title,Label,Format,Released
TC 37548,"Earth, Wind & Fire",Raise!,"ARC (3), Columbia","LP, Album, Gat",1981
AOTU 003,Ebola Virus,No Redemption,Art Of The Underground,"7"", EP",0
AOTU 088 ,Sick Sick Birds,Art Of The Underground Single Series Volume: 46,Art Of The Underground,"7"", Single, TP",2011
AOTU 093,Classics Of Love,Art Of The Underground Single Series Volume 49,Art Of The Underground,"7"", Single",2010
AOTU 17,Rachel Jacobs,Friend Overseas,Art Of The Underground,"7""",2005
AOTU 50,Exit Strategy (3),Art Of The Underground Single Series Volume: 23,Art Of The Underground,"7"", Single",0
ASB109,"Mighty Mighty Bosstones, The",Question The Answers,Asbestos Records,"LP, Album, Ltd, RE, Blu",2015
"ASB058, UCR058","Rudiments plus Suicide Machines, The",Skank For Brains,"Asbestos Records, Underground Communique Records","2xLP, Gre",2011
17,Unsteady,Double Or Nothing,Asian Man Records,"LP, Album",1997
AM-182,Classics Of Love,Walking In Shadows EP,Asian Man Records,"12"", EP, RP, Cle + CD, EP",2009
AMR-235,Classics Of Love,Classics Of Love,Asian Man Records,"12"", Album, Pur",2012
AMR-235,Classics Of Love,Classics Of Love,Asian Man Records,"12"", Album, Red",2012
ATCO SD 33-131,Bobby Darin,The Bobby Darin Story - Mack The Knife,Atco Records,"LP, Comp, RE",0
SD 38-120,Gary Numan,The Pleasure Principle,"ATCO Records, Beggars Banquet","LP, Album",1979
544594-1,alt-J,This Is All Yours,Atlantic,"2xLP, Album, Col",2014
7-527399,Death Cab For Cutie,In Living Stereo!,Atlantic,"7"", Smplr, Ltd",2011
7-87079,Bad Religion,Punk Rock Song,Atlantic,"7"", Ltd, Gra",1996
82870-1,Bad Religion,The Gray Race,Atlantic,"LP, Album, Ltd, Gra",1996
R1 82658,Bad Religion,Stranger Than Fiction,Atlantic,"LP, Album, RE, Red",2009
SD 1580,Duke Ellington,New Orleans Suite,Atlantic,"LP, Album, Gat",1971
SD 16033,AC/DC,Dirty Deeds Done Dirt Cheap,Atlantic,"LP, Album, Club",1981
SD 18176,Aretha Franklin,Sparkle,Atlantic,"LP, Album",1976
SD 19209,Chic,C'est Chic,Atlantic,"LP, Album",1978
SD 2-7005,Various,Concerts For The People Of Kampuchea,Atlantic,"2xLP, Comp",1981
SD 8149,Flip Wilson,Cowboys & Colored People,Atlantic,"LP, Album, RE",1969
SD 8176,Aretha Franklin,Lady Soul,Atlantic,"LP, Album",1968
SD 8295,Aretha Franklin,Aretha's Greatest Hits,Atlantic,"LP, Comp, RE",1974
"81796-1, 7 81796-1",INXS,Kick,"Atlantic, Atlantic","LP, Album, Gat",1987
"7-530627-7, 7-530627 (K1)",Otis Redding / Aretha Franklin,Respect,"Atlantic, Rhino Records (2)","7"", Single, Ltd, Bro",2012
882188016,Gogol Bordello,Pura Vida Conspiracy,ATO Records,"LP, Whi + 7"", Whi",2013
ATO0142,Alabama Shakes,Boys & Girls,ATO Records,"LP, Album + 7"", Single",2012
ATO0269,Alabama Shakes,Sound & Color,ATO Records,"LP, 180 + LP, S/Sided, 180 + Album",2015
BAKO-16,Matty Pop Chart,Everyone Does Everything,Bakery Outlet Records,LP,2007
BAKO24,Street Eaters,We See Monsters,Bakery Outlet Records,"12"", EP",2009
BEC5772110,Justice (3),†,"Because Music, Ed Banger Records","2xLP, Album, Gat",2007
BCR187-1,Dirty Rotten Imbeciles,Live At CBGB's 1984,Beer City Records,"LP, Ltd, Whi",2015
BCR190-1,MDC (2),Live At CBGB's 1983,Beer City Records,"LP, Gre",2015
BL01/WH35,La Dispute,Rooms Of The House,Better Living,LP,2014
BYO 029,Youth Brigade,"All Style, No Substance",Better Youth Organization,"7"", Single, Ora",1994
BYO 040,Hepcat,Scientific,Better Youth Organization,"LP, Album",1996
BYO 125,Various,Let Them Know,Better Youth Organization,"2xLP, Red + CD + DVD + Box, Comp",2009
"BYO 014, 08",7 Seconds,New Wind,"Better Youth Organization, Positive Force Records","LP, Album",1986
BLM0211,Junior Kimbrough,First Recordings,Big Legal Mess Records,"10"", EP",2009
BWR 7-90168-48382-8,"International Noise Conspiracy, The",Smash It Up!,Big Wheel Recreation,"7"", Whi",2000
BLOCKS038,Fucked Up,Year Of The Dog,Blocks Recording Club,"12"", EP",2006
8100300-1,Joey Ramone,Rock 'N Roll Is The Answer,BMG,"7"", Single, Ltd, Cle",2012
74321-39227-1,Los Del Rio,Macarena (Non Stop),BMG U.S. Latin,"12""",1996
UXB017,Random Hand,Live In K-Town,Bomber Music,"LP, Cle",2013
BBR 001,Flogging Molly,Don't Shut 'Em Down,Borstal Beat Records,"7"", Single, Ltd",2011
BBR 001,Flogging Molly,Don't Shut 'Em Down,Borstal Beat Records,"7"", Single, Ltd",2011
BNR090,Boys Noize,Out Of The Black,Boysnoize Records,"2x12"", Album",2012
B9R035,Give Up The Ghost,Year One,Bridge Nine Records,"12"", RE, Comp, RM, Bla",2011
B9R098,Ceremony (4),Still Nothing Moves You,Bridge Nine Records,"LP, Album, RP, Yel",2008
B9R122,Defeater,Lost Ground,Bridge Nine Records,"2x7"", RP, Whi",2009
B9R144,Defeater,Empty Days & Sleepless Nights,Bridge Nine Records,"2xLP, Album, Ltd, Etch, Gra",2011
B9R158,H2O (7),H2O,Bridge Nine Records,"LP, RE, Pur",2011
BR-3000,Liberace,Liberace Sends You Love,Brookville Records,3xLP,1974
BRWN-001,Band Of Horses,Acoustic At The Ryman,Brown Records,"7""",2013
BRWN003,Band Of Horses,Acoustic At The Ryman,Brown Records,"LP, Album, 180",2014
"CLP-3003, CLP 3003",Everly Brothers,The Everly Brothers,"Cadence (2), Cadence (2)","LP, Album, Mono",1958
B001983901,Beck,Morning Phase,Capitol Records,"LP, Album, 180",2014
DF-505,Nat King Cole,A Blossom Fell,Capitol Records,"LP, Comp, RE",1970
DT  357,Nat King Cole,Unforgettable,Capitol Records,"LP, Album, RE, RP",0
SJ-383,"Beatles, The",Abbey Road,Capitol Records,"LP, Album, RE",1983
SO-511948,"Knack, The (3)",Get The Knack,Capitol Records,"LP, Album, Club",1979
SOO-12045,"Knack, The (3)",...But The Little Girls Understand,Capitol Records,"LP, Album",1980
ST 1793,Nat King Cole,Ramblin' Rose,Capitol Records,"LP, Album",1962
ST-1942,Bobby Darin,18 Yellow Roses,Capitol Records,"LP, Comp",0
"SMAS 2653, SMAS-2653, 2653","Beatles, The",Sgt. Pepper's Lonely Hearts Club Band,"Capitol Records, Capitol Records, Capitol Records","LP, Album, RE, Gat",1976
SLB-6803,Nat King Cole,The Greatest Of Nat King Cole,Capitol Special Markets,"2xLP, Comp",1972
CAROL 1705,"Smashing Pumpkins, The",Gish,Caroline Records,"LP, Album, RM",1994
"CAROL 1740 1, 0170 4 61740 1 5","Smashing Pumpkins, The",Siamese Dream,"Caroline Records, Virgin","2xLP, Album, RP, Gat",0
B0017777-01,Crystal Castles,(III),Casablanca Records,"LP, Album",2012
"NBLP 7078, NBLP 7078-2",Donna Summer,Once Upon A Time...,"Casablanca Records, Casablanca Records","2xLP, Album",1977
"CBS CLASH 3, S CBS CLASH 3","Clash, The",London Calling,"CBS, CBS","2xLP, Album",1979
CHE 1236,Pat Benatar,In The Heat Of The Night,Chrysalis,"LP, Album",1979
CHR 1274,"Selecter, The",Too Much Pressure,Chrysalis,"LP, Album",1980
fv 41346,Pat Benatar,Precious Time,Chrysalis,LP,1981
FV 41377,Billy Idol,Billy Idol,Chrysalis,"LP, Album",1983
FV 41450,Billy Idol,Rebel Yell,Chrysalis,"LP, Album",1983
PV 41274,"Selecter, The",Too Much Pressure,Chrysalis,"LP, Album, RE",1980
CHR 1303,"Specials, The",More Specials,"Chrysalis, Two-Tone Records","LP, Album",1980
"CAR053, RR161-1","Bouncing Souls, The",Comet,"Chunksaah Records, Rise Records (3)","LP, Album, Ltd",2012
38-06135,Jimmy Cliff & Elvis Costello & The Attractions,Seven-Day Weekend,Columbia,"7"", Promo",1986
38-779225,MGMT,Congratulations,Columbia,"7"", Ltd",2010
659625 6,Fishbone,Swim,Columbia,"12"", Single, Ltd, cle",1993
88691959247,"Clash, The",London Calling,Columbia,"7"", Ltd, Single",2012
88725 41651 1,Passion Pit,Gossamer,Columbia,"2xLP, Album, Gat",2012
88843 04142 1,Broken Bells (2),Holding On For Life,Columbia,"12"", Single, Ltd",2014
888430918313,Various,Wish I Was Here (Music From The Motion Picture),Columbia,"2xLP, Comp, 180",2014
B6C 40032 / AL 40032,Fishbone,Fishbone,Columbia,"12"", EP",1985
CS 8163,Miles Davis,Kind Of Blue,Columbia,"LP, Album",1959
CS 8963,Aretha Franklin,Unforgettable - A Tribute To Dinah Washington,Columbia,"LP, Album",1964
FC 35797,Journey,Evolution,Columbia,"LP, Album",1979
FC 37728,Toto,Toto IV,Columbia,"LP, Album",1982
FC40101,Elvis Costello,The Best Of Elvis Costello And The Attractions,Columbia,"LP, Comp",1985
FC\AL- 40101,Elvis Costello & The Attractions,The Best Of Elvis Costello And The Attractions,Columbia,"LP, Comp",1985
KC 32258,Johnny Mathis,Killing Me Softly With Her Song,Columbia,"LP, Album",1973
TC 37408,Journey,Escape,Columbia,"LP, Album",1981
TC 38367,"Earth, Wind & Fire",Powerlight,Columbia,"LP, Album",1983
CB-14,Various,In The Dancing Mood,"Columbia Record Club, Columbia","LP, Album, Ltd",0
38-540540,Band Of Horses,Sonic Ranch Sessions: Mirage Rock & Relly's Dream,Columbia Records,"7""",2012
halo 28v,Nine Inch Nails,Hesitation Marks,Columbia Records,"2xLP, Album, 180 + CD, Album",2013
"C 40891, FC 40891",Fishbone,Truth And Soul,"Columbia, Columbia","LP, Album",1988
"FC 36121, 36121",Neil Diamond,September Morn,"Columbia, Columbia","LP, Album",1979
"JC 35709, 35709",Elvis Costello & The Attractions,Armed Forces,"Columbia, Columbia","LP, Album",1979
"88883716861, 88883 71686 1",Daft Punk,Random Access Memories,"Columbia, Columbia, Sony Music, Sony Music","2xLP, Album, 180",2013
88697 69110 1,Band Of Horses,Infinite Arms,"Columbia, Fat Possum Records, Brown Records","LP, Album, Gat",2010
8883712831,Johnny Cash,Out Among The Stars,"Columbia, Legacy","LP, Album, Gat",2014
"88697665251, MOVLP069","Raveonettes, The",Chain Gang Of Love,"Columbia, Music On Vinyl","LP, RE, 180",2010
CX-148,Pearl Bailey with Margie Anderson,Singing & Swinging,Coronet Records,"LP, Album, Mono",1960
COUNT 046,"Heavy, The",The Glorious Dead,Counter Records,"2xLP, Ltd, Album, Gat",2012
COUNT007,"Heavy, The",Great Vengeance & Furious Fire,Counter Records,"LP, Album, Ltd, Gat",2007
COUNT028,"Heavy, The",The House That Dirt Built,Counter Records,"LP, Album",2009
"CR 9005, CR-9005",Ray Charles,Renaissance,"Crossover Records (3), Crossover Records (3)","LP, Album",1975
CST 190,Conte Candoli All Stars,Little Band Big Jazz,Crown Records (2),"LP, Red",1960
"CST 144, 144","Ink Spots, The",The Ink Spots' Greatest Hits,"Crown Records (2), Crown Records (2)","LP, Comp",1959
CR-035,"Devil Dogs, The",Saturday Night Fever,Crypt Records,"LP, Album",1993
CR-035,"Devil Dogs, The",Saturday Night Fever,Crypt Records,"LP, Gre",1993
DRR 63005-1,Various,Murder Was The Case (The Soundtrack),Death Row Records (2),"2xLP, Album, RE, RM",2001
DW114180g,Give Up The Ghost,Background Music,Deathwish Inc.,"LP, Album, RE, Ltd, Opa",2011
DW121v,Touché Amoré,Parting The Sea Between Brightness And Me,Deathwish Inc.,"LP, Album, Whi",2011
DW136v,Touché Amoré,Live On BBC Radio 1,Deathwish Inc.,"7"", Ltd, Whi",2012
DW151,Touché Amoré,Is Survived By,Deathwish Inc.,"LP, Album, Ltd, Tra",2013
DW163v,Touché Amoré,Live On BBC Radio 1: Vol 2,Deathwish Inc.,"7"", EP, Whi",2014
B0016331-01,Imelda May,Mayhem,Decca,"LP, Album",2011
DL 75253,Loretta Lynn,Coal Miner's Daughter,Decca,"LP, Album",1970
DXSA 7206,Andrew Lloyd Webber And Tim Rice,Jesus Christ Superstar - A Rock Opera,Decca,"2xLP, Album",1970
UCGR-00228-1,Thomas Dybdahl / Laura Jansen,A Love Story/Single Girls,Decca,"7"", Promo",2011
# 81,Extortion (2),Sick,Deep Six Records,"12"", Album, Pur",2007
DS52,Fucked Up / Haymaker,Fucked Up / Haymaker,Deep Six Records,"7""",2002
LP DEP 5,UB40,Labour Of Love,DEP International,"LP, Album",1983
DER 52 RE,Fucked Up,Dance Of Death,Deranged Records,"7"", RP",2005
DER-33,Fucked Up,Police,Deranged Records,"7"", RP",2003
DY-82,Fucked Up,Dangerous Fumes,Deranged Records,"7"", Single",2006
B0015325-01,Rise Against,Endgame,"DGC, Interscope Records","LP, 180",2011
"DIFB 1200 DLP, 451.1200.012",Crystal Castles,Crystal Castles,"Different, Different","2xLP, Album",2008
DPR022,Lower Class Brats,The New Seditionaries,Dirty Punk Records,"LP, Album",2006
Dischord  30,Fugazi,Fugazi,Dischord Records,"12"", EP, RM",2008
Dischord 10,Minor Threat,Out Of Step,Dischord Records,"12"", RE, RM",2007
Dischord 10,Minor Threat,Out Of Step,Dischord Records,"12"", EP, RM, RP, Rem",1983
"Dischord 12, DISCHORD No. 12",Minor Threat,Minor Threat,"Dischord Records, Dischord Records","LP, Comp, RM, RP, Yel",2008
"DISCHORD 35, Dischord 35",Fugazi,Margin Walker,"Dischord Records, Dischord Records","12"", EP",1989
"dischord fifteen, No FIFTEEN",Minor Threat,Salad Days,"Dischord Records, Dischord Records","7"", RP",0
DG-44,Laura Stevenson & The Cans,Sit Resist,Don Giovanni Records,"LP, Whi",2011
DC014,Pavement,Westing (By Musket And Sextant),Drag City,"LP, Comp",1993
"DPRLP19, P762538","Clash, The",Give 'Em Enough Rope,"Drastic Plastic Records, Sony Music Entertainment","LP, Album, Ltd, 180",2011
MOSH256LP,"Dillinger Escape Plan, The",The Dillinger Escape Plan,Earache Records,"12"", EP, Ltd, RE, Yel",2012
ES014-1,"Diarrhea Planet, Those Darlins",Live At Pickathon: Diarrhea Planet/Those Darlins,Easy Sound Recording,"LP, Ltd",2015
BEC5161064,Justice (3),"Audio, Video, Disco.","Ed Banger Records, Because Music","2xLP, Album + CD, Album + Ltd",2011
5E-567,"Cars, The",Shake It Up,Elektra,"LP, Album",1981
60296-1,"Cars, The",Heartbeat City,Elektra,"LP, Album, Gat",1984
9 60726-1,Billy Bragg,Back To Basics,Elektra,"2xLP, Comp",1987
BB-702,Queen,Live Killers,Elektra,"2xLP, Album",1979
ST-E-60405-1,"Sisters Of Mercy, The",First And Last And Always,Elektra,"LP, Album",1985
"60812-1, 9 60812-1",Metallica,...And Justice For All,"Elektra, Elektra","2xLP, Album",1988
"9 60738-1, 60738-1","10,000 Maniacs",In My Tribe,"Elektra, Elektra","LP, Album",1987
"9 60774-1 , 60774-1",Tracy Chapman,Tracy Chapman,"Elektra, Elektra","LP, Album",1988
"9 60815-1, 60815-1","10,000 Maniacs",Blind Man's Zoo,"Elektra, Elektra","LP, Album",1989
elite012.,"International Noise Conspiracy, The",Live At Oslo Jazz Festival 2002,Eliterecords,"LP, Ltd, Red",2015
E1-92152,Red Hot Chili Peppers,Mother's Milk,EMI,"LP, Album",1989
ST-17070,Stray Cats,Built For Speed,EMI America,"LP, Album",1982
ELT-48036,Red Hot Chili Peppers,The Uplift Mofo Party Plan,EMI-Manhattan Records,"LP, Album",1987
E1047,Agent Orange (7),When You Least Expect It...,"Enigma Records (3), What Records?","12""",1983
888750640277,Modest Mouse,Lampshades On Fire / Coyotes,Epic,"7""",2014
E2 87125,Modest Mouse,Good News For People Who Love Bad News,Epic,"2xLP, Album, RE, 180",2011
FE 40017,"Clash, The",Cut The Crap,Epic,"LP, Album",1985
JE 35543,"Clash, The",Give 'Em Enough Rope,Epic,"LP, Album, 1st",1978
JE 36381,Patti LaBelle,Released,Epic,"LP, Album",1980
KE 31607,Johnny Nash,I Can See Clearly Now,Epic,"LP, Album",1972
"88875049121, 88875049121-S1",Modest Mouse,Strangers To Ourselves,"Epic, Epic","2xLP, Album",2015
"FE 37689, FMLN 2","Clash, The",Combat Rock,"Epic, Epic","LP, Album, 2nd",1982
88691944331,Shuggie Otis,Introducing Shuggie Otis,"Epic, Legacy","LP, Comp, Ltd, Num, 180",2013
88843076011,Various,Garden State (Music From The Motion Picture),"Epic, Legacy","2xLP, 180",2014
4E 36846,"Clash, The",Black Market Clash,"Epic, Nu Disk","10"", Comp",1980
86429-1,Pennywise,Unknown Road,Epitaph,"LP, Album",1993
86452S-7,Rancid,Roots Radicals,Epitaph,"7""",1994
86492-1,Voodoo Glow Skulls,Baile De Los Locos,Epitaph,"LP, Album",1997
86497-1,Rancid,Life Won't Wait,Epitaph,"2xLP, Album, Ltd, RP, Ora",2014
86635-1,Bad Religion,The Process Of Belief,Epitaph,"LP, Album, Gat",2002
86981-1,Refused,The Shape Of Punk To Come (A Chimerical Bombination In 12 Bursts),Epitaph,"2xLP, Ltd, RE, RM, Tra + CD, Album + DVD-V",2012
86988-1,Bad Religion,The Dissent Of Man,Epitaph,"LP, Album + CD, Album",2010
87119-1,Social Distortion,Hard Times And Nursery Rhymes,Epitaph,"2xLP, Album + CD, Album",2011
87170-1,"Menzingers, The",On The Impossible Past,Epitaph,"LP, Album + CD, Album",2012
87228-1,Bad Religion,True North,Epitaph,"LP, Album + CD, Album",2013
87276-1,Bad Religion,Christmas Songs,Epitaph,"LP, Album, Ltd, Etch",2013
87276-7,Bad Religion,Father Christmas,Epitaph,"7"", S/Sided, Etch",2013
87378-1,Pianos Become The Teeth,Keep You,Epitaph,"LP, Album, Ltd, Col",2014
87378-7,Pianos Become The Teeth,Close,Epitaph,"7"", Ltd, whi",2015
EPITAPH 87263-1,Transplants,In A Warzone,Epitaph,"LP, Album, Ltd, Cle + CD",2013
87032-2,Rancid,Let The Dominoes Fall,"Epitaph, Hellcat Records","Box, Ltd, Col + 2xLP, Album + LP, Album + CD, Albu",2009
"87271-1, 87271-7",Rancid,...Honor Is All We Know,"Epitaph, Hellcat Records, Epitaph, Hellcat Records","LP, Album, Yel + 7"", Single, Yel + CD, Album",2014
EB001,"Casualties, The",A Fuckin' Way Of Life,Eyeball Records,"7""",1995
EYE1-20015,Thursday,Waiting,Eyeball Records,"LP, Album, Whi",2009
B0016547-21,Florence And The Machine,Shake It Out,Fairfax Recordings,"7"", Single, Ltd",2012
FFINC 048,Blue Sky Black Death,Glaciers,Fake Four Inc.,"2xLP, Album, Ltd",2013
FC014,A Place To Bury Strangers / Ceremony (2),Less Artists More Condos Series #1,Famous Class,"7"", Single",2012
80307-1,R.L. Burnside,Too Bad Jim,Fat Possum Records,"LP, Album, Ltd, Num, RE, 180",2014
80308-1,Junior Kimbrough And The Soul Blues Boys,All Night Long,Fat Possum Records,"LP, Album, Ltd, RE, 180",2009
FP 1032-1,"Black Keys, The",Chulahoma,Fat Possum Records,"LP, Album",2011
FAT 559-1,Bracket,Novelty Forever,Fat Wreck Chords,LP,1997
Fat 562-1,Snuff (3),Tweet Tweet My Lovely,Fat Wreck Chords,"LP, Album",1998
FAT 577-1,Goober Patrol,The Unbearable Lightness Of Being Drunk,Fat Wreck Chords,"LP, Album",1998
FAT 621-2,Frenzal Rhomb,Shut Your Mouth,Fat Wreck Chords,LP,2001
FAT 626-1,Tilt (2),Been Where? Did What?,Fat Wreck Chords,"LP, Comp",2001
FAT 709-1,"Sainte Catherines, The",Dancing For Decadence,Fat Wreck Chords,LP,2006
FAT 733-1,Lagwagon,I Think My Older Brother Used To Listen To Lagwagon,Fat Wreck Chords,"12"", MiniAlbum + CD, MiniAlbum",2008
FAT 774-1,Dead To Me,Moscow Penny Ante,Fat Wreck Chords,LP,2011
FAT507-1,No Use For A Name,The Daily Grind,Fat Wreck Chords,"LP, Album",1993
FAT508-7,Propagandhi,How To Clean A Couple O' Things,Fat Wreck Chords,"7"", Single",1993
FAT509,Rancid,Radio Radio Radio,Fat Wreck Chords,"7"", EP",1993
FAT541-1,Goober Patrol,Vacation,Fat Wreck Chords,"LP, Album",1996
FAT545-1,Swingin' Utters,A Juvenile Product Of The Working Class,Fat Wreck Chords,"LP, Album",1996
FAT556-1,Snuff (3),Potatoes And Melons Wholesale Prices Straight From The Lock Up,Fat Wreck Chords,"LP, Album",1997
FAT557-1,No Use For A Name,Making Friends,Fat Wreck Chords,"LP, Album",1997
FAT592-1,Tilt (2),Viewers Like You,Fat Wreck Chords,"LP, Album",1999
FAT608-1,"Dickies, The",All This And Puppet Stew,Fat Wreck Chords,LP,2001
FAT619-1,Zero Down,With A Lifetime To Pay,Fat Wreck Chords,"LP, Album",2001
FAT623-1,Anti-Flag,Underground Network,Fat Wreck Chords,"LP, Album",2001
FAT627-1,Snuff (3),Blue Gravy: Phase 9,Fat Wreck Chords,"10"", MiniAlbum, Blu",2001
FAT631-1,MxPx,The Renaissance EP,Fat Wreck Chords,"12"", EP",2001
FAT639-1,No Use For A Name,Hard Rock Bottom,Fat Wreck Chords,"LP, Album",2002
FAT666-1,Propagandhi,"Less Talk, More Rock",Fat Wreck Chords,"LP, Album",1996
FAT682-1,Only Crime,To The Nines,Fat Wreck Chords,"LP, Album",2004
FAT689-1,"Epoxies, The",Stop The Future,Fat Wreck Chords,"LP, Album",2005
FAT714-1,Against Me!,From Her Lips To God's Ears,Fat Wreck Chords,"12"", Ltd",2006
FAT773,NOFX,NOFX,Fat Wreck Chords,"10"", EP, S/Sided",2011
"FAT539-1, FAT 539-1",Good Riddance,A Comprehensive Guide To Moderne Rebellion,"Fat Wreck Chords, Fat Wreck Chords","LP, Album",1996
"FAT 584-1, fat 584-1, 584-1",Consumed,Hit For Six,"Fat Wreck Chords, Fat Wreck Chords, Fat Wreck Chords","LP, Album",1999
R1 523284,"Cure, The",Disintegration,"Fiction Records, Elektra, Rhino Records (2)","2xLP, Album, RM, RE",2010
FSM 229-1,"Dirty Heads, The",Sound Of Change,Five Seven Music,"LP, Album",2014
"none, ",Justin Sane,Gas Land Terror,"Flix Records, Ashes Records","7"", Whi",2011
FKR042-1,Local Natives,Gorilla Manor,Frenchkiss Records,"LP, Album",2009
FU:009,Fucked Up,David's Plan,Fucked Up Records,"7""",2010
HD5005-7,"International Noise Conspiracy, The",Capitalism Stole My Virginity,G7 Welcoming Committee Records,"7""",2001
B0011696-01,Sublime (2),Sublime,"Gasoline Alley Records, Skunk Records (2), Geffen Records","2xLP, Album, RE, 180",2008
B0015412-01,Sonic Youth,Whore's Moaning: Oz '93 Tour Edition,Geffen Records,"12"", EP, Ltd, Blu",2011
GHS 4003,Madness,Madness,Geffen Records,"LP, Comp",1983
GHS 4022,Madness,Keep Moving,Geffen Records,"LP, Album",1984
GR001,"Bouncing Souls, The","Live At Generation Records, NYC: April 18, 2009",Generation Records (9),"LP, Ltd",2011
GET56034LP,Jurassic 5,Quality Control - The Wood Box,Get On Down,"4xLP, Album, Dlx, Ltd",2015
GA012,"Glitch Mob, The",Love Death Immortality,Glass Air Records,"2xLP, Album",2014
STK-00004-1,"Glitch Mob, The",Drink The Sea ,Glass Air Records,"2x12"", Album, RE, Mar + 10"", EP, RE, Mar + Ltd",2014
GLS-0142-10,Mumford & Sons,Live From Bull Moose,Glassnote (2),"10"", Ltd",2013
GLS-0152 01,Childish Gambino,Because The Internet,Glassnote (2),"2xLP, Ltd, Wit",2014
none,Chvrches,Recover EP,Glassnote (2),"12"", EP, Ltd, Num, Ora",2014
"GK 050 LP, AF0005",Anti-Flag,A New Kind Of Army,"Go-Kart Records, A-F Records",LP,1999
INT 146.701,UB40,The Singles Album,Graduate Records,"LP, Comp",1980
FLT003,"Ghost, The (4) / Prosperity Wallet",A Split Twelve Inch Recording,Grey Flight Records,"12""",2002
GRO-LP 025,"Laurel Aitken with Skatalites, The",The Legendary Godfather Of Ska - Volume 2 - The Long Hot Summer (1963),Grover Records,"LP, Comp",1998
GS-1419,"Platters, The",Only You,Guest Star,"LP, Album",1968
HCR-05,Hostage Calm,Demo,Headcount Records (2),"7"", RP, red",2007
217-HRM 329-13-7,"Cars, The",Sad Song,Hear Music,"7"", Single",2011
80441-1,"Distillers, The",Sing Sing Death House,Hellcat Records,"LP, Album, RP",2008
80463-1,HorrorPops,Hell Yeah!,Hellcat Records,"LP, Album",2004
80498-1,HorrorPops,Kiss Kiss Kill Kill,Hellcat Records,"LP, Album",2008
80501-1,Civet,Hell Hath No Fury,Hellcat Records,"LP, Album",2008
80517-1,Street Dogs,Street Dogs,Hellcat Records,"LP, Album",2010
80527-1,"Interrupters, The",The Interrupters,Hellcat Records,"LP + CD, Album",2014
86893-1,Operation Ivy,Energy,Hellcat Records,"LP, Album, RE, Ltd, Red",2012
87079-1,Operation Ivy,Hectic E.P.,Hellcat Records,"12"", EP, RE, Ltd, Red",2012
